Periodo,Dato
1977/05,13
1977/06,13
1977/07,13
1977/08,13
1977/09,13
1977/10,13
1977/11,13
1977/12,13
1978/01,13
1978/02,13
1978/03,13
1978/04,13
1978/05,13
1978/06,13
1978/07,13
1978/08,13
1978/09,13
1978/10,13
1978/11,13
1978/12,13
1979/01,13
1979/02,13
1979/03,13
1979/04,13
1979/05,13
1979/06,13
1979/07,13
1979/08,13
1979/09,13
1979/10,14.65
1979/11,16.85
1979/12,16.78
1980/01,17.55
1980/02,18.5
1980/03,21.08
1980/04,22.2
1980/05,21.46
1980/06,20.08
1980/07,19.18
1980/08,19.9
1980/09,21.69
1980/10,22.53
1980/11,23.88
1980/12,26.45
1981/01,27.44
1981/02,28.06
1981/03,28.45
1981/04,28.4
1981/05,28.6
1981/06,29.79
1981/07,31.67
1981/08,33.66
1981/09,33.9
1981/10,34.06
1981/11,33.36
1981/12,33.42
1982/01,34.74
1982/02,36.41
1982/03,35.28
1982/04,37.04
1982/05,41.46
1982/06,48.65
1982/07,51.2
1982/08,53.89
1982/09,50.51
1982/10,47.19
1982/11,47.5
1982/12,52.14
1983/01,57.36
1983/02,57.6
1983/03,58.86
1983/04,59.23
1983/05,59.22
1983/06,60.05
1983/07,59.98
1983/08,58.22
1983/09,56.44
1983/10,55.27
1983/11,54.88
1983/12,54.02
1984/01,49.91
1984/02,47.34
1984/03,45.51
1984/04,45.4
1984/05,45.4
1984/06,45.4
1984/07,45.4
1984/08,45.4
1984/09,45.4
1984/10,44.93
1984/11,44.45
1984/12,44.4
1985/01,44.4
1985/02,44.4
1985/03,46.02
1985/04,46.8
1985/05,46.96
1985/06,51.42
1985/07,55.28
1985/08,59.57
1985/09,60.05
1985/10,61.6
1985/11,66.03
1985/12,70.26
1986/01,70.78
1986/02,73
1986/03,77.03
1986/04,79.6
1986/05,80.56
1986/06,83.81
1986/07,88.06
1986/08,89.07
1986/09,92.85
1986/10,95.65
1986/11,95.65
1986/12,95.65
1987/01,95.65
1987/02,95.65
1987/03,94.87
1987/04,91.77
1987/05,90.22
1987/06,90.2
1987/07,89.28
1987/08,87.67
1987/09,87.05
1987/10,87.17
1987/11,96.84
1987/12,111.73
1988/01,106.69
1988/02,106.5
1988/03,62.64
1988/04,41.69
1988/05,37.99
1988/06,29.39
1988/07,28.95
1988/08,28.95
1988/09,28.95
1988/10,28.95
1988/11,28.95
1988/12,28.95
1989/01,28.95
1989/02,28.95
1989/03,28.95
1989/04,28.95
1989/05,28.95
1989/06,28.95
1989/07,28.81
1989/08,26.56
1989/09,26.43
1989/10,27.35
1989/11,28.85
1989/12,29.18
1990/01,28.98
1990/02,29.08
1990/03,29.25
1990/04,28.74
1990/05,27.18
1990/06,26.72
1990/07,26.2
1990/08,25.86
1990/09,25.83
1990/10,25.33
1990/11,22.66
1990/12,21.78
1991/01,20.21
1991/02,18.56
1991/03,17.23
1991/04,16.09
1991/05,15.35
1991/06,13.52
1991/07,15.5
1991/08,15.27
1991/09,15.92
1991/10,15.98
1991/11,14.61
1991/12,14.59
1992/01,14.61
1992/02,14.24
1992/03,11.53
1992/04,11.69
1992/05,12.81
1992/06,14.46
1992/07,16.28
1992/08,16.54
1992/09,17.56
1992/10,19
1992/11,18.27
1992/12,17.6
1993/01,17.19
1993/02,17.88
1993/03,17.67
1993/04,16.67
1993/05,16.35
1993/06,15.57
1993/07,14.36
1993/08,13.58
1993/09,13.32
1993/10,13.03
1993/11,13.14
1993/12,11.01
1994/01,9.42
1994/02,8.68
1994/03,8.86
1994/04,13.93
1994/05,15.77
1994/06,15.12
1994/07,15.85
1994/08,13.73
1994/09,12.68
1994/10,13.03
1994/11,13.33
1994/12,14.2
1995/01,23.24
1995/02,27.35
1995/03,42.45
1995/04,52.43
1995/05,43.14
1995/06,37.38
1995/07,33.79
1995/08,30.39
1995/09,29.64
1995/10,32.99
1995/11,40.58
1995/12,37.8
1996/01,31.39
1996/02,28.59
1996/03,30.57
1996/04,26.44
1996/05,21.56
1996/06,20.57
1996/07,22.54
1996/08,20.49
1996/09,19.68
1996/10,19.95
1996/11,22.35
1996/12,20.69
1997/01,18.67
1997/02,16.61
1997/03,16.39
1997/04,16.09
1997/05,14.14
1997/06,14.05
1997/07,12.98
1997/08,12.73
1997/09,12.72
1997/10,12.51
1997/11,13.35
1997/12,12.43
1998/01,12.01
1998/02,12.04
1998/03,12.72
1998/04,12.19
1998/05,11.32
1998/06,12.06
1998/07,12.45
1998/08,13.03
1998/09,16.81
1998/10,16.8
1998/11,15.97
1998/12,16.13
1999/01,15.05
1999/02,13.54
1999/03,10.84
1999/04,8.93
1999/05,8.78
1999/06,9.08
1999/07,8.78
1999/08,9.15
1999/09,9.01
1999/10,8.62
1999/11,8.32
1999/12,8.04
2000/01,7.44
2000/02,7.1
2000/03,6.47
2000/04,6.18
2000/05,6.67
2000/06,7.02
2000/07,6.47
2000/08,6.68
2000/09,6.74
2000/10,6.95
2000/11,7.33
2000/12,7.37
2001/01,7.52
2001/02,7.44
2001/03,7.19
2001/04,6.79
2001/05,5.17
2001/06,4.05
2001/07,3.92
2001/08,3.43
2001/09,3.75
2001/10,3.92
2001/11,3.66
2001/12,3.52
2002/01,3.42
2002/02,3.63
2002/03,3.46
2002/04,3.04
2002/05,3.04
2002/06,3.22
2002/07,3.26
2002/08,2.92
2002/09,2.92
2002/10,3.09
2002/11,3.17
2002/12,2.97
2003/01,3.1
2003/02,3.4
2003/03,3.42
2003/04,3.18
2003/05,2.5
2003/06,2.34
2003/07,2.28
2003/08,2.26
2003/09,2.26
2003/10,2.27
2003/11,2.15
2003/12,2.26
2004/01,2.19
2004/02,2.27
2004/03,2.44
2004/04,2.37
2004/05,2.48
2004/06,2.5
2004/07,2.51
2004/08,2.57
2004/09,2.6
2004/10,2.66
2004/11,2.89
2004/12,3.01
2005/01,2.71
2005/02,2.7
2005/03,2.73
2005/04,2.84
2005/05,2.86
2005/06,2.74
2005/07,2.72
2005/08,2.72
2005/09,2.7
2005/10,2.67
2005/11,2.65
2005/12,2.57
2006/01,2.53
2006/02,2.51
2006/03,2.49
2006/04,2.47
2006/05,2.43
2006/06,2.42
2006/07,2.41
2006/08,2.39
2006/09,2.39
2006/10,2.37
2006/11,2.33
2006/12,2.33
2007/01,2.33
2007/02,2.33
2007/03,2.33
2007/04,2.36
2007/05,2.48
2007/06,2.48
2007/07,2.47
2007/08,2.47
2007/09,2.49
2007/10,2.49
2007/11,2.49
2007/12,2.49
2008/01,2.49
2008/02,2.49
2008/03,2.49
2008/04,2.49
2008/05,2.49
2008/06,2.49
2008/07,2.49
2008/08,2.49
2008/09,2.49
2008/10,2.5
2008/11,2.56
2008/12,2.56
2009/01,2.56
2009/02,2.55
2009/03,2.54
2009/04,2.52
2009/05,2.5
2009/06,2.49
2009/07,2.47
2009/08,2.45
2009/09,2.46
2009/10,2.46
2009/11,2.46
2009/12,2.43
2010/01,2.32
2010/02,2.32
2010/03,2.31
2010/04,2.32
2010/05,2.32
2010/06,2.31
2010/07,2.31
2010/08,2.34
2010/09,2.3
2010/10,2.29
2010/11,2.25
2010/12,2.24
2011/01,2.23
2011/02,2.22
2011/03,2.22
2011/04,2.2
2011/05,2.21
2011/06,2.21
2011/07,2.21
2011/08,2.22
2011/09,2.2
2011/10,2.2
2011/11,2.19
2011/12,2.19
2012/01,2.19
2012/02,2.12
2012/03,2.08
2012/04,2.08
2012/05,2.08
2012/06,2.08
2012/07,2.03
2012/08,2.08
2012/09,2.08
2012/10,2.08
2012/11,2.08
2012/12,2.07
2013/01,2.07
2013/02,1.92
2013/03,1.91
2013/04,1.9
2013/05,1.83
2013/06,1.73
2013/07,1.64
2013/08,1.82
2013/09,1.9
2013/10,1.86
2013/11,1.84
2013/12,1.87
2014/01,1.88
2014/02,1.91
2014/03,1.9
2014/04,1.85
2014/05,1.46
2014/06,1.25
2014/07,1.1
2014/08,1
2014/09,0.99
2014/10,1
2014/11,0.99
2014/12,0.99
2015/01,0.99
2015/02,1.02
2015/03,1.1
2015/04,1.18
2015/05,1.18
2015/06,1.19
2015/07,1.19
2015/08,1.19
2015/09,1.2
2015/10,1.18
2015/11,1.18
2015/12,1.19
2016/01,1.17
2016/02,1.2
2016/03,1.26
2016/04,1.25
2016/05,1.26
2016/06,1.27
2016/07,1.3
2016/08,1.31
2016/09,1.32
2016/10,1.37
2016/11,1.43
2016/12,1.57
2017/01,2.23
2017/02,2.58
2017/03,2.62
2017/04,2.64
2017/05,2.67
2017/06,2.68
2017/07,2.65
2017/08,2.66
