CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,CVE_CAB
9,Ciudad de Mexico,2,Azcapotzalco,----
9,Ciudad de Mexico,3,Coyoacan,----
9,Ciudad de Mexico,4,Cuajimalpa de Morelos,----
9,Ciudad de Mexico,5,Gustavo A. Madero,----
9,Ciudad de Mexico,6,Iztacalco,----
9,Ciudad de Mexico,7,Iztapalapa,----
9,Ciudad de Mexico,8,La Magdalena Contreras,----
9,Ciudad de Mexico,9,Milpa Alta,----
9,Ciudad de Mexico,10,Alvaro Obregon,----
9,Ciudad de Mexico,11,Tlahuac,----
9,Ciudad de Mexico,12,Tlalpan,----
9,Ciudad de Mexico,13,Xochimilco,----
9,Ciudad de Mexico,14,Benito Juarez,----
9,Ciudad de Mexico,15,Cuauhtemoc,----
9,Ciudad de Mexico,16,Miguel Hidalgo,----
9,Ciudad de Mexico,17,Venustiano Carranza,----
